"GEOID","TYPE","BORO","DIST_ROADBED","DIST_BLDG_HGHT"
360610037002002,"d","Manahattan",9.45953253384332097048979591836734693878,14.896706
360610080002001,"d","Manahattan",15.26109638426361270358364888123924268503,66.835796
360610240001000,"d","Manahattan",14.90210432704665838461538461538461538462,0.712886
360610103001004,"d","Manahattan",11.7084279656661349838140311804008908686,21.135411
360610088002000,"d","Manahattan",14.94748784802906845482876098260713645329,40.879033
360610087001003,"d","Manahattan",11.03590540587672734854996734160679294579,15.893208
360610092001009,"d","Manahattan",23.3871628326291124312453749926587185059,56.529371
360610115001002,"d","Manahattan",16.98143716718347032595156136250431050998,23.837176
360610135001005,"d","Manahattan",13.52240129971316354058290155440414507772,28.476697
360610041001001,"d","Manahattan",8.87579953468002769108023619312261201806,8.517731
360610104001000,"d","Manahattan",22.65010765607729478875354609929078014184,30.164663
360610156011000,"d","Manahattan",10.54493730153799685569607343192248852626,11.89595
360470066001002,"d","Brooklyn",6.79134553836375995510204081632653061224,4.887055
360050019003022,"d","Bronx",8.966530506167650675,3.212879
360610110002000,"d","Manahattan",12.18757772028847059870630699088145896657,13.908222
360610080001000,"d","Manahattan",19.69764924729521730900299625468164794007,100.478346
360610184001002,"d","Manahattan",7.48671480837708189609715242881072026801,2.966699
360610129001006,"d","Manahattan",8.63025772733515928327632763276327632763,13.415946
360610129001007,"d","Manahattan",6.92251267309386045767651888341543513957,0.456372
360610065001003,"d","Manahattan",8.76588003532892833296227908203640200475,12.328018
360610073006006,"d","Manahattan",8.00722308803654901498582724153364165299,10.261831
360610102001005,"d","Manahattan",20.32627044791292438956923571485976050792,49.512087
360610047002003,"d","Manahattan",9.54777520312559113647302904564315352697,11.882961
360610091001002,"d","Manahattan",14.50035728245381736974376546735198933943,27.846994
360610112021000,"d","Manahattan",16.17759298690724948422021256759276524333,36.706715
360610126006000,"d","Manahattan",10.13810923869628063926614324627463547508,14.489541
360610138002000,"d","Manahattan",9.80832334194090022102618860289985388333,15.286134
360610129002001,"d","Manahattan",8.96014800875161546808610567514677103718,8.17723
360470994001009,"d","Brooklyn",0,2.415207
360610113001001,"d","Manahattan",14.58524912520994937040714422892260418667,75.086327
360610037003009,"d","Manahattan",9.91447560347603443032444124008651766402,10.166563
360610067001002,"d","Manahattan",8.32988855690981275113666352497643732328,7.368196000000001
360610058001001,"d","Manahattan",15.20243747342445777084539986633994208064,29.705
360610080002004,"d","Manahattan",12.9929434183563753951489509678915034195,16.265694
360610056001000,"d","Manahattan",14.8000077488495972142955367913148371532,28.79505
360610171002001,"d","Manahattan",8.7262730466950201064549433061468072409,13.019552
360610082001001,"d","Manahattan",18.78420430612662735619149238867548726704,69.254509
360610034003001,"d","Manahattan",8.15859151039409023533002928587519711647,9.339358
360610115001003,"d","Manahattan",14.60758779643910923930901306497175141243,24.085647
360610094001003,"d","Manahattan",21.84831054734820324818685062169988076989,92.095624
360810137001002,"d","Queens",7.12571854935761286744186046511627906977,2.252565
360610037001012,"d","Manahattan",9.12853982784352461705549263873159682899,19.565783
360610089005000,"d","Manahattan",8.61005278529809682194275741710296684119,11.520245
360610132006000,"d","Manahattan",13.23221327778791291151579338535860274991,9.666647
360610135002005,"d","Manahattan",8.61237252200899837655231560891938250429,7.564400999999997
360610054003000,"d","Manahattan",11.55588000672069151241021701555598233148,18.987724
360470199003002,"d","Brooklyn",5.72389035552185157285714285714285714286,4.320389
360470569001002,"d","Brooklyn",5.72637078087430509769722814498933901919,4.930707
360610038007000,"d","Manahattan",8.72867969062137107064516522375320082917,8.651113
360610058001008,"d","Manahattan",12.8330554418544911121525187865293626496,25.63713
360610043003002,"d","Manahattan",9.17642743229593969941023417172593235039,19.985719
360610015013008,"d","Manahattan",11.71396783598576727388951205832865956254,15.467968
360610114022000,"d","Manahattan",11.56509879454956831718014548566538296962,16.524262
360610317044005,"d","Manahattan",9.06805197734904229316949152542372881356,20.456917
360610093001002,"d","Manahattan",8.20635495536574035285403050108932461874,8.168136
360610129001003,"d","Manahattan",8.17186761579393855424535664117371624785,12.576329
360610037003002,"d","Manahattan",11.86548354170003410961710978477120636643,14.909213
360610094001005,"d","Manahattan",20.1331796510114768540345157179269328802,66.80161
360610050001003,"d","Manahattan",10.5891289542108088861645267243953418931,17.328473000000002
360610097002002,"d","Manahattan",8.94623970438584249357568533969010727056,4.27114
360610167003001,"d","Manahattan",9.16315004315372120286748732802317161477,16.161601
360610218002000,"d","Manahattan",6.26657697719792037770812928501469147894,8.686446
360610191003001,"d","Manahattan",8.9924771840792855628537455410225921522,15.120885
360610076001000,"d","Manahattan",16.55478851766134096663847780126849894292,27.038275
360610211002000,"d","Manahattan",9.15679434129702435918053777208706786172,19.177641
360610122003000,"d","Manahattan",10.06834771897214283224014892956872479057,17.714128
360610041005004,"d","Manahattan",8.23969554386435547893550893550893550894,9.142289
360810208001000,"d","Queens",5.77175131452152735536764705882352941176,1.784543
360470636001001,"d","Brooklyn",5.77754013200452893333333333333333333333,2.017104
360810143002001,"d","Queens",8.07522845092593330366438356164383561644,4.081404
360610145002000,"d","Manahattan",15.40908050239264130132031457099938146152,54.02076
360610091002000,"d","Manahattan",11.44166701377175438953119365308330328164,17.033901999999998
360610059001001,"d","Manahattan",11.14613330797761027893707482993197278912,36.283739
360610129002002,"d","Manahattan",6.95241828450824632058242283529090412456,3.079242
360470015001007,"d","Brooklyn",8.82474857945214464603053435114503816794,16.900392999999998
360050043001000,"d","Bronx",1.11921495209114462790697674418604651163,3.449415
