GEOID	BORO	TUID	DIST_ROADBED	DIST_BLDG_HGHT	TYPE
360050251006000	Bronx	20130701026692	0	1.70614	d
360050251007001	Bronx	20130701024043	0	6.353359	d
360050253001000	Bronx	20130701005028	0	5.07787	d
360050253001001	Bronx	20130701025646	0	6.321657	d
360050257001001	Bronx	20130701007874	0	5.600312	d
360050257001002	Bronx	20130701013547	0	3.023809	d
360050261001000	Bronx	20130701006316	47.60763204	7.274139	d
360050263005000	Bronx	20130701006270	11.65788496	9.691582	d
360050266021002	Bronx	20130701013162	0	3.334523	d
360050266023004	Bronx	20130701004781	0	2.817409	d
360050267026000	Bronx	20130701008186	0	5.388399	d
360050267026001	Bronx	20130701010751	36.399769	6.432953	d
360050269003000	Bronx	20130701004013	0	4.242535	d
360050273003000	Bronx	20130701043015	0	6.383301	d
360050279003000	Bronx	20130701012030	0	6.537838	d
360050284001010	Bronx	20130701015674	0	3.277585	d
360050287001000	Bronx	20130701024455	0	2.340303	d
360050289001003	Bronx	20130701022103	0	2.242398	d
360050293021001	Bronx	20130701005116	7.961648331	1.199976	d
360050295001001	Bronx	20130701026529	0	7.713086	d
360050295001002	Bronx	20130701003311	0	9.189517	d
360050295002001	Bronx	20130701016499	0	6.08562	d
360050295002002	Bronx	20130701010591	0	1.623069	d
360050296002000	Bronx	20130701004753	41.70355252	5.635522	d
360050296002000	Bronx	20130701008353	0	5.635522	d
360050296002000	Bronx	20130701020923	22.92361776	5.635522	d
360050296002000	Bronx	20130701043027	65.74798904	5.635522	d
360050300003001	Bronx	20130701023696	0	3.04013	d
360050323002000	Bronx	20130701016323	0	12.223321	d
360050328001003	Bronx	20130701042881	0	2.259819	d
360050328001004	Bronx	20130701022806	82.58048702	4.37698	d
360050330003003	Bronx	20130701013266	0	3.8624	d
360050335002015	Bronx	20130701002526	8.675636196	1.20145	d
360050335003001	Bronx	20130701042987	1.207141382	7.756905	d
360050336001003	Bronx	20130701000038	0	2.642497	d
360050336006000	Bronx	20130701026487	0	4.277411	d
360050338004003	Bronx	20130701003615	12.23223347	2.714604	d
360050345001006	Bronx	20130701012012	0	3.348938	d
360050351002001	Bronx	20130701008296	34.93899209	2.591906	d
